1	46	0	1
2	46	0	1
3	46	0	1
4	107	0	1
4	142	1	3
5	107	0	1
5	142	1	3
6	32	0	1
7	26	0	1
8	26	0	1
9	26	0	1
10	26	0	1
11	26	0	1
12	26	0	1
13	59	0	1
14	59	0	1
15	59	0	1
16	69	0	1
16	91	0	2
16	104	1	3
17	125	0	1
17	161	1	3
18	32	0	1
19	144	0	1
20	10	0	1
21	22	0	1
22	164	0	1
23	163	0	1
24	154	0	1
25	51	0	1
25	151	0	2
25	172	1	3
26	176	0	1
27	53	0	1
27	119	0	2
27	15	1	3
28	53	0	1
28	119	0	2
28	15	1	3
29	53	0	1
29	119	0	2
29	15	1	3
30	53	0	1
30	119	0	2
30	15	1	3
31	53	0	1
31	119	0	2
31	15	1	3
32	53	0	1
32	119	0	2
32	15	1	3
33	47	0	1
34	181	0	1
35	70	0	1
36	178	0	1
37	36	0	1
38	23	0	1
39	185	0	1
40	184	0	1
41	104	0	1
42	181	0	1
43	80	0	1
44	15	0	1
45	104	0	1
46	101	0	1
47	92	0	1
48	94	0	1
49	45	0	1
50	3	0	1
51	182	0	1
52	37	0	1
53	111	0	1
54	74	0	1
55	22	0	1
56	158	0	1
57	156	0	1
58	159	0	1
59	91	0	1
60	117	0	1
61	166	0	1
61	180	1	3
62	26	0	1
63	26	0	1
64	33	0	1
65	31	0	1
66	156	0	1
67	182	0	1
68	39	0	1
69	131	0	1
70	173	0	1
71	75	0	1
72	159	0	1
73	99	0	1
74	174	0	1
75	156	0	1
76	181	0	1
77	189	0	1
78	190	0	1
79	191	0	1
80	9	0	1
80	31	1	3
81	9	0	1
81	31	1	3
82	9	0	1
82	31	1	3
83	9	0	1
83	31	1	3
84	9	0	1
84	31	1	3
85	9	0	1
85	31	1	3
86	170	0	1
87	125	0	1
88	113	0	1
89	184	0	1
90	91	0	1
91	82	0	1
91	55	0	2
91	47	1	3
92	82	0	1
92	55	0	2
92	47	1	3
93	82	0	1
93	55	0	2
93	47	1	3
94	9	0	1
94	31	1	3
95	9	0	1
95	31	1	3
96	9	0	1
96	31	1	3
97	9	0	1
97	31	1	3
98	9	0	1
98	31	1	3
99	9	0	1
99	31	1	3
100	207	0	1
101	81	0	1
101	202	1	3
102	81	0	1
102	202	1	3
103	81	0	1
103	117	1	3
104	81	0	1
104	117	1	3
105	8	0	1
105	221	0	2
105	159	1	3
106	8	0	1
106	221	0	2
106	159	1	3
107	53	0	1
107	101	0	2
107	155	1	3
108	169	0	1
108	101	0	2
108	155	1	3
109	42	0	1
109	5	0	2
109	206	1	3
110	42	0	1
110	5	0	2
110	206	1	3
111	42	0	1
111	5	0	2
111	206	1	3
112	143	0	1
112	82	0	2
112	223	1	3
113	143	0	1
113	82	0	2
113	223	1	3
114	119	0	1
114	139	1	3
115	130	0	1
115	31	0	2
115	69	1	3
116	210	0	1
117	210	0	1
118	211	0	1
119	211	0	1
120	211	0	1
121	198	0	1
121	173	0	2
121	91	1	3
122	26	0	1
123	216	0	1
124	216	0	1
125	216	0	1
126	51	0	1
126	72	0	2
126	99	1	3
127	208	0	1
128	102	0	1
128	126	1	3
129	212	0	1
129	12	1	3
130	197	0	1
131	197	0	1
132	197	0	1
133	197	0	1
134	197	0	1
135	197	0	1
136	197	0	1
137	197	0	1
138	197	0	1
139	197	0	1
140	197	0	1
141	197	0	1
142	197	0	1
143	209	0	1
144	209	0	1
145	209	0	1
146	171	0	1
146	43	0	2
146	142	1	3
147	220	0	1
148	9	0	1
148	31	1	3
149	130	0	1
149	31	0	2
149	69	1	3
150	118	0	1
150	19	0	2
150	175	1	3
151	20	0	1
152	181	0	1
153	199	0	1
153	11	1	3
154	160	0	1
154	31	0	2
154	5	1	3
155	232	0	1
156	232	0	1
157	233	0	1
