10001,1,50,0
10001,2,180,2
10001,3,20,0
10001,4,180,1
10001,5,20,0
10001,6,150,0
10002,1,50,0
10002,2,70,0
10002,3,160,2
10002,4,70,0
10002,5,160,1
10002,6,90,0
10003,1,50,0
10003,2,95,0
10003,3,90,0
10003,4,95,0
10003,5,90,0
10003,6,180,3
10004,1,60,0
10004,2,79,0
10004,3,105,2
10004,4,59,0
10004,5,85,0
10004,6,36,0
10005,1,60,0
10005,2,69,0
10005,3,95,1
10005,4,69,0
10005,5,95,1
10005,6,36,0
10006,1,100,0
10006,2,103,0
10006,3,75,0
10006,4,120,0
10006,5,75,0
10006,6,127,3
10007,1,150,3
10007,2,120,0
10007,3,100,0
10007,4,120,0
10007,5,100,0
10007,6,90,0
10008,1,50,0
10008,2,65,0
10008,3,107,0
10008,4,105,1
10008,5,107,0
10008,6,86,1
10009,1,50,0
10009,2,65,0
10009,3,107,0
10009,4,105,1
10009,5,107,0
10009,6,86,1
10010,1,50,0
10010,2,65,0
10010,3,107,0
10010,4,105,1
10010,5,107,0
10010,6,86,1
10011,1,50,0
10011,2,65,0
10011,3,107,0
10011,4,105,1
10011,5,107,0
10011,6,86,1
10012,1,50,0
10012,2,65,0
10012,3,107,0
10012,4,105,1
10012,5,107,0
10012,6,86,1
10013,1,70,1
10013,2,70,0
10013,3,70,0
10013,4,70,0
10013,5,70,0
10013,6,70,0
10014,1,70,1
10014,2,70,0
10014,3,70,0
10014,4,70,0
10014,5,70,0
10014,6,70,0
10015,1,70,1
10015,2,70,0
10015,3,70,0
10015,4,70,0
10015,5,70,0
10015,6,70,0
10016,1,70,0
10016,2,92,0
10016,3,65,0
10016,4,80,0
10016,5,55,0
10016,6,98,2
10017,1,105,0
10017,2,30,0
10017,3,105,0
10017,4,140,2
10017,5,105,0
10017,6,55,0
10018,1,100,0
10018,2,128,1
10018,3,90,1
10018,4,77,0
10018,5,77,0
10018,6,128,1
10019,1,79,0
10019,2,100,0
10019,3,80,0
10019,4,110,0
10019,5,90,0
10019,6,121,3
10020,1,79,0
10020,2,105,0
10020,3,70,0
10020,4,145,3
10020,5,80,0
10020,6,101,0
10021,1,89,0
10021,2,145,3
10021,3,90,0
10021,4,105,0
10021,5,80,0
10021,6,91,0
10022,1,125,0
10022,2,170,3
10022,3,100,0
10022,4,120,0
10022,5,90,0
10022,6,95,0
10023,1,125,0
10023,2,120,0
10023,3,90,0
10023,4,170,3
10023,5,100,0
10023,6,95,0
10024,1,91,0
10024,2,72,0
10024,3,90,0
10024,4,129,3
10024,5,90,0
10024,6,108,0
10025,1,74,0
10025,2,48,0
10025,3,76,0
10025,4,83,0
10025,5,81,0
10025,6,104,2
10026,1,60,0
10026,2,150,2
10026,3,50,0
10026,4,150,1
10026,5,50,0
10026,6,60,0
10027,1,44,0
10027,2,66,0
10027,3,70,1
10027,4,44,0
10027,5,55,0
10027,6,56,0
10028,1,54,0
10028,2,66,0
10028,3,70,1
10028,4,44,0
10028,5,55,0
10028,6,46,0
10029,1,59,0
10029,2,66,0
10029,3,70,1
10029,4,44,0
10029,5,55,0
10029,6,41,0
10030,1,55,0
10030,2,85,0
10030,3,122,2
10030,4,58,0
10030,5,75,0
10030,6,99,0
10031,1,75,0
10031,2,95,0
10031,3,122,2
10031,4,58,0
10031,5,75,0
10031,6,69,0
10032,1,85,0
10032,2,100,0
10032,3,122,2
10032,4,58,0
10032,5,75,0
10032,6,54,0
10033,1,80,0
10033,2,100,0
10033,3,123,0
10033,4,122,2
10033,5,120,1
10033,6,80,0
10034,1,78,0
10034,2,130,0
10034,3,111,0
10034,4,130,3
10034,5,85,0
10034,6,100,0
10035,1,78,0
10035,2,104,0
10035,3,78,0
10035,4,159,3
10035,5,115,0
10035,6,100,0
10036,1,79,0
10036,2,103,0
10036,3,120,0
10036,4,135,0
10036,5,115,3
10036,6,78,0
10037,1,55,0
10037,2,50,0
10037,3,65,0
10037,4,175,3
10037,5,105,0
10037,6,150,0
10038,1,60,0
