1	1	50
1	2	180
1	3	20
1	4	180
1	5	20
1	6	150
2	1	50
2	2	70
2	3	160
2	4	70
2	5	160
2	6	90
3	1	50
3	2	95
3	3	90
3	4	95
3	5	90
3	6	180
4	1	60
4	2	79
4	3	105
4	4	59
4	5	85
4	6	36
5	1	60
5	2	69
5	3	95
5	4	69
5	5	95
5	6	36
6	1	100
6	2	103
6	3	75
6	4	120
6	5	75
6	6	127
7	1	150
7	2	120
7	3	100
7	4	120
7	5	100
7	6	90
8	1	50
8	2	65
8	3	107
8	4	105
8	5	107
8	6	86
9	1	50
9	2	65
9	3	107
9	4	105
9	5	107
9	6	86
10	1	50
10	2	65
10	3	107
10	4	105
10	5	107
10	6	86
11	1	50
11	2	65
11	3	107
11	4	105
11	5	107
11	6	86
12	1	50
12	2	65
12	3	107
12	4	105
12	5	107
12	6	86
13	1	70
13	2	70
13	3	70
13	4	70
13	5	70
13	6	70
14	1	70
14	2	70
14	3	70
14	4	70
14	5	70
14	6	70
15	1	70
15	2	70
15	3	70
15	4	70
15	5	70
15	6	70
16	1	70
16	2	92
16	3	65
16	4	80
16	5	55
16	6	98
17	1	105
17	2	30
17	3	105
17	4	140
17	5	105
17	6	55
18	1	100
18	2	128
18	3	90
18	4	77
18	5	77
18	6	128
19	1	79
19	2	100
19	3	80
19	4	110
19	5	90
19	6	121
20	1	79
20	2	105
20	3	70
20	4	145
20	5	80
20	6	101
21	1	89
21	2	145
21	3	90
21	4	105
21	5	80
21	6	91
22	1	125
22	2	170
22	3	100
22	4	120
22	5	90
22	6	95
23	1	125
23	2	120
23	3	90
23	4	170
23	5	100
23	6	95
24	1	91
24	2	72
24	3	90
24	4	129
24	5	90
24	6	108
25	1	74
25	2	48
25	3	76
25	4	83
25	5	81
25	6	104
26	1	60
26	2	150
26	3	50
26	4	150
26	5	50
26	6	60
27	1	44
27	2	66
27	3	70
27	4	44
27	5	55
27	6	56
28	1	54
28	2	66
28	3	70
28	4	44
28	5	55
28	6	46
29	1	59
29	2	66
29	3	70
29	4	44
29	5	55
29	6	41
30	1	55
30	2	85
30	3	122
30	4	58
30	5	75
30	6	99
31	1	75
31	2	95
31	3	122
31	4	58
31	5	75
31	6	69
32	1	85
32	2	100
32	3	122
32	4	58
32	5	75
32	6	54
33	1	80
33	2	100
33	3	123
33	4	122
33	5	120
33	6	80
34	1	78
34	2	130
34	3	111
34	4	130
34	5	85
34	6	100
35	1	78
35	2	104
35	3	78
35	4	159
35	5	115
35	6	100
36	1	79
36	2	103
36	3	120
36	4	135
36	5	115
36	6	78
37	1	55
37	2	50
37	3	65
37	4	175
37	5	105
37	6	150
38	1	60
38	2	65
38	3	80
38	4	170
38	5	95
38	6	130
39	1	105
39	2	125
39	3	100
39	4	60
39	5	100
39	6	100
40	1	65
40	2	155
40	3	120
40	4	65
40	5	90
40	6	105
41	1	95
41	2	155
41	3	109
41	4	70
41	5	130
41	6	81
42	1	80
42	2	135
42	3	85
42	4	70
42	5	95
42	6	150
43	1	106
43	2	190
43	3	100
43	4	154
43	5	100
43	6	130
44	1	106
44	2	150
44	3	70
44	4	194
44	5	120
44	6	140
45	1	90
45	2	95
45	3	105
45	4	165
45	5	110
45	6	45
46	1	70
46	2	150
46	3	140
46	4	65
46	5	100
46	6	75
47	1	80
47	2	185
47	3	115
47	4	40
47	5	105
47	6	75
48	1	75
48	2	90
48	3	90
48	4	140
48	5	90
48	6	115
49	1	100
049	2	164
49	3	150
49	4	95
49	5	120
49	6	71
50	1	80
50	2	160
50	3	80
50	4	130
50	5	80
50	6	100
51	1	68
51	2	85
51	3	65
51	4	165
51	5	135
51	6	100
52	1	50
52	2	105
52	3	125
52	4	55
52	5	95
52	6	50
53	1	70
53	2	140
53	3	230
53	4	60
53	5	80
53	6	50
54	1	60
54	2	100
54	3	85
54	4	80
54	5	85
54	6	100
55	1	70
55	2	75
55	3	80
55	4	135
55	5	80
55	6	135
56	1	64
56	2	165
56	3	75
56	4	93
56	5	83
56	6	75
57	1	65
57	2	150
57	3	60
57	4	115
57	5	60
57	6	115
58	1	108
58	2	170
58	3	115
58	4	120
58	5	95
58	6	92
59	1	70
59	2	145
59	3	88
59	4	140
59	5	70
59	6	112
60	1	90
60	2	132
60	3	105
60	4	132
60	5	105
60	6	30
61	1	74
61	2	65
61	3	67
61	4	125
61	5	128
61	6	92
62	1	80
62	2	100
62	3	120
62	4	140
62	5	150
62	6	110
63	1	80
63	2	130
63	3	100
63	4	160
63	5	120
63	6	110
64	1	100
64	2	150
64	3	110
64	4	95
64	5	110
64	6	70
65	1	70
65	2	110
65	3	75
65	4	145
65	5	85
65	6	145
66	1	50
66	2	85
66	3	125
66	4	85
66	5	115
66	6	20
67	1	75
67	2	110
67	3	110
67	4	110
67	5	105
67	6	80
68	1	68
68	2	165
68	3	95
68	4	65
68	5	115
68	6	110
69	1	103
69	2	60
69	3	126
69	4	80
69	5	126
69	6	50
70	1	70
70	2	140
70	3	70
70	4	110
70	5	65
70	6	105
71	1	95
71	2	75
71	3	180
71	4	130
71	5	80
71	6	30
72	1	75
72	2	125
72	3	230
72	4	55
72	5	95
72	6	30
73	1	83
73	2	80
73	3	80
73	4	135
73	5	80
73	6	121
